age,category,country
53,Healthcare,China
66,Healthcare,China
44,Automotive,China
80,Manufacturing,China
56,Technology,China
40,Automotive,China
54,Finance & Investments,China
82,Logistics,China
72,Healthcare,China
64,Manufacturing,China
56,Technology,China
86,Manufacturing,China
55,Fashion & Retail,China
58,Automotive,China
53,Food & Beverage,China
60,Manufacturing,China
75,Manufacturing,China
60,Healthcare,China
58,Manufacturing,China
59,Diversified,China
75,Diversified,China
79,Logistics,China
73,Fashion & Retail,China
66,Food & Beverage,China
60,Fashion & Retail,China
63,Manufacturing,China
52,Manufacturing,China
72,Manufacturing,China
46,Service,China
86,Energy,China
60,Real Estate,China
60,Automotive,China
52,Manufacturing,China
38,Media & Entertainment,China
54,Technology,China
46,Service,China
70,Fashion & Retail,China
78,Healthcare,China
73,Healthcare,China
64,Finance & Investments,China
78,Healthcare,China
65,Healthcare,China
70,Real Estate,China
53,Manufacturing,China
56,Technology,China
59,Manufacturing,China
69,Healthcare,China
59,Gambling & Casinos,China
56,Real Estate,China
73,Real Estate,China
72,Diversified,China
49,Manufacturing,China
64,Diversified,China
51,Diversified,China
51,Technology,China
56,Technology,China
61,Manufacturing,China
56,Technology,China
53,Food & Beverage,China
35,Media & Entertainment,China
58,Energy,China
87,Food & Beverage,China
71,Healthcare,China
49,Finance & Investments,China
56,Real Estate,China
64,Healthcare,China
54,Food & Beverage,China
58,Fashion & Retail,China
74,Construction & Engineering,China
58,Technology,China
56,Finance & Investments,China
59,Technology,China
66,Manufacturing,China
60,Healthcare,China
54,Energy,China
51,Automotive,China
56,Energy,China
58,Manufacturing,China
61,Fashion & Retail,China
70,Manufacturing,China
56,Real Estate,China
52,Healthcare,China
54,Manufacturing,China
36,Real Estate,China
61,Real Estate,China
57,Fashion & Retail,China
59,Real Estate,China
72,Manufacturing,China
84,Logistics,China
73,Manufacturing,China
57,Manufacturing,China
87,Manufacturing,China
59,Healthcare,China
55,Technology,China
54,Finance & Investments,China
61,Metals & Mining,China
58,Manufacturing,China
56,Healthcare,China
56,Manufacturing,China
46,Technology,China
71,Finance & Investments,China
51,Healthcare,China
69,Manufacturing,China
52,Healthcare,China
79,Automotive,China
53,Construction & Engineering,China
55,Manufacturing,China
57,Technology,China
47,Automotive,China
54,Manufacturing,China
64,Fashion & Retail,China
70,Food & Beverage,China
76,Technology,China
58,Technology,China
56,Logistics,China
48,Manufacturing,China
56,Healthcare,China
51,Technology,China
56,Technology,China
57,Healthcare,China
50,Technology,China
88,Fashion & Retail,China
67,Diversified,China
69,Real Estate,China
58,Energy,China
52,Manufacturing,China
58,Real Estate,China
39,Real Estate,China
39,Technology,China
57,Manufacturing,China
60,Manufacturing,China
76,Metals & Mining,China
59,Diversified,China
72,Food & Beverage,China
55,Energy,China
54,Food & Beverage,China
72,Manufacturing,China
52,Logistics,China
57,Healthcare,China
68,Diversified,China
58,Healthcare,China
30,Real Estate,China
49,Technology,China
56,Real Estate,China
54,Diversified,China
60,Energy,China
53,Metals & Mining,China
42,Technology,China
68,Technology,China
55,Fashion & Retail,China
45,Energy,China
51,Manufacturing,China
51,Manufacturing,China
61,Metals & Mining,China
63,Healthcare,China
57,Healthcare,China
47,Fashion & Retail,China
65,Manufacturing,China
46,Metals & Mining,China
51,Technology,China
65,Manufacturing,China
55,Manufacturing,China
73,Real Estate,China
90,Fashion & Retail,China
65,Fashion & Retail,China
57,Manufacturing,China
58,Manufacturing,China
56,Manufacturing,China
39,Technology,China
47,Technology,China
43,Manufacturing,China
61,Energy,China
59,Manufacturing,China
55,Real Estate,China
53,Food & Beverage,China
88,Fashion & Retail,China
86,Manufacturing,China
56,Food & Beverage,China
74,Energy,China
62,Fashion & Retail,China
67,Manufacturing,China
65,Manufacturing,China
48,Technology,China
49,Technology,China
49,Real Estate,China
72,Fashion & Retail,China
51,Healthcare,China
52,Manufacturing,China
68,Food & Beverage,China
68,Manufacturing,China
69,Real Estate,China
63,Media & Entertainment,China
70,Real Estate,China
69,Healthcare,China
55,Real Estate,China
67,Real Estate,China
52,Technology,China
60,Real Estate,China
48,Healthcare,China
48,Technology,China
72,Manufacturing,China
56,Media & Entertainment,China
66,Real Estate,China
53,Manufacturing,China
63,Food & Beverage,China
63,Technology,China
71,Manufacturing,China
54,Energy,China
46,Logistics,China
70,Healthcare,China
51,Technology,China
73,Healthcare,China
61,Manufacturing,China
48,Manufacturing,China
68,Manufacturing,China
58,Manufacturing,China
65,Manufacturing,China
37,Fashion & Retail,China
62,Fashion & Retail,China
77,Service,China
48,Manufacturing,China
52,Healthcare,China
59,Manufacturing,China
52,Automotive,China
57,Manufacturing,China
59,Manufacturing,China
74,Metals & Mining,China
70,Technology,China
52,Automotive,China
48,Technology,China
59,Metals & Mining,China
49,Manufacturing,China
45,Technology,China
45,Manufacturing,China
48,Manufacturing,China
67,Manufacturing,China
58,Manufacturing,China
54,Manufacturing,China
75,Manufacturing,China
86,Real Estate,China
53,Food & Beverage,China
57,Food & Beverage,China
61,Diversified,China
54,Manufacturing,China
47,Technology,China
86,Manufacturing,China
57,Food & Beverage,China
71,Technology,China
59,Telecom,China
65,Fashion & Retail,China
49,Technology,China
48,Manufacturing,China
55,Manufacturing,China
37,Technology,China
58,Technology,China
55,Manufacturing,China
31,Healthcare,China
67,Healthcare,China
49,Technology,China
72,Food & Beverage,China
52,Manufacturing,China
58,Manufacturing,China
70,Fashion & Retail,China
65,Real Estate,China
57,Manufacturing,China
49,Construction & Engineering,China
59,Manufacturing,China
73,Real Estate,China
58,Logistics,China
57,Healthcare,China
56,Food & Beverage,China
59,Healthcare,China
59,Manufacturing,China
57,Manufacturing,China
68,Food & Beverage,China
58,Manufacturing,China
60,Manufacturing,China
61,Food & Beverage,China
62,Real Estate,China
53,Manufacturing,China
61,Real Estate,China
61,Manufacturing,China
60,Healthcare,China
62,Food & Beverage,China
53,Food & Beverage,China
57,Healthcare,China
53,Healthcare,China
59,Real Estate,China
57,Manufacturing,China
58,Finance & Investments,China
70,Real Estate,China
56,Healthcare,China
55,Manufacturing,China
61,Diversified,China
67,Healthcare,China
54,Real Estate,China
36,Real Estate,China
41,Real Estate,China
52,Logistics,China
58,Manufacturing,China
51,Telecom,China
81,Technology,China
73,Manufacturing,China
56,Manufacturing,China
39,Food & Beverage,China
56,Finance & Investments,China
53,Service,China
25,Metals & Mining,China
52,Telecom,China
46,Technology,China
77,Service,China
71,Telecom,China
50,Real Estate,China
59,Manufacturing,China
50,Fashion & Retail,China
65,Manufacturing,China
56,Fashion & Retail,China
54,Technology,China
64,Food & Beverage,China
71,Manufacturing,China
51,Fashion & Retail,China
57,Manufacturing,China
60,Healthcare,China
55,Manufacturing,China
57,Fashion & Retail,China
60,Technology,China
71,Automotive,China
58,Healthcare,China
58,Manufacturing,China
59,Manufacturing,China
48,Technology,China
67,Real Estate,China
68,Technology,China
46,Technology,China
67,Manufacturing,China
73,Diversified,China
59,Manufacturing,China
42,Technology,China
48,Food & Beverage,China
59,Technology,China
52,Manufacturing,China
56,Manufacturing,China
39,Technology,China
58,Manufacturing,China
54,Energy,China
53,Healthcare,China
59,Manufacturing,China
54,Manufacturing,China
56,Food & Beverage,China
63,Manufacturing,China
62,Real Estate,China
63,Manufacturing,China
68,Real Estate,China
60,Diversified,China
44,Finance & Investments,China
42,Healthcare,China
46,Healthcare,China
48,Healthcare,China
59,Energy,China
71,Diversified,China
58,Technology,China
53,Technology,China
54,Healthcare,China
51,Food & Beverage,China
82,Logistics,China
81,Food & Beverage,China
34,Diversified,China
59,Technology,China
56,Manufacturing,China
59,Food & Beverage,China
58,Manufacturing,China
57,Food & Beverage,China
52,Food & Beverage,China
59,Diversified,China
53,Manufacturing,China
70,Real Estate,China
51,Service,China
50,Healthcare,China
64,Technology,China
62,Construction & Engineering,China
63,Manufacturing,China
54,Manufacturing,China
57,Food & Beverage,China
54,Energy,China
65,Technology,China
65,Manufacturing,China
45,Technology,China
52,Healthcare,China
55,Real Estate,China
65,Technology,China
70,Real Estate,China
54,Food & Beverage,China
54,Automotive,China
44,Technology,China
44,Media & Entertainment,China
60,Telecom,China
52,Real Estate,China
52,Fashion & Retail,China
52,Automotive,China
57,Logistics,China
53,Healthcare,China
52,Manufacturing,China
56,Healthcare,China
60,Healthcare,China
60,Manufacturing,China
67,Healthcare,China
50,Media & Entertainment,China
39,Metals & Mining,China
54,Telecom,China
56,Telecom,China
59,Manufacturing,China
53,Healthcare,China
52,Food & Beverage,China
54,Technology,China
48,Technology,China
52,Technology,China
56,Manufacturing,China
65,Manufacturing,China
57,Healthcare,China
59,Healthcare,China
53,Healthcare,China
59,Manufacturing,China
58,Healthcare,China
54,Real Estate,China
72,Manufacturing,China
51,Manufacturing,China
54,Healthcare,China
59,Healthcare,China
47,Technology,China
58,Manufacturing,China
65,Manufacturing,China
72,Manufacturing,China
52,Manufacturing,China
51,Fashion & Retail,China
52,Food & Beverage,China
57,Manufacturing,China
48,Healthcare,China
52,Technology,China
71,Real Estate,China
62,Healthcare,China
50,Healthcare,China
54,Manufacturing,China
57,Healthcare,China
54,Energy,China
58,Healthcare,China
63,Real Estate,China
64,Finance & Investments,China
69,Manufacturing,China
51,Healthcare,China
55,Manufacturing,China
55,Manufacturing,China
57,Manufacturing,China
54,Manufacturing,China
59,Healthcare,China
55,Healthcare,China
60,Metals & Mining,China
68,Fashion & Retail,China
45,Technology,China
58,Healthcare,China
78,Telecom,China
68,Real Estate,China
55,Manufacturing,China
50,Service,China
51,Manufacturing,China
47,Technology,China
53,Fashion & Retail,China
67,Technology,China
57,Construction & Engineering,China
66,Manufacturing,China
59,Technology,China
57,Manufacturing,China
43,Energy,China
59,Manufacturing,China
89,Finance & Investments,Colombia
54,Finance & Investments,Czechia
46,Energy,Czechia
67,Food & Beverage,Czechia
56,Technology,Czechia
57,Metals & Mining,Czechia
45,Technology,Czechia
61,Technology,Czechia
50,Real Estate,Czechia
52,Finance & Investments,Czechia
69,Technology,Czechia
49,Fashion & Retail,Denmark
74,Manufacturing,Denmark
46,Manufacturing,Denmark
43,Manufacturing,Denmark
38,Manufacturing,Denmark
74,Healthcare,Denmark
39,Technology,Denmark
44,Technology,Denmark
70,Manufacturing,Denmark
61,Construction & Engineering,Egypt
67,Telecom,Egypt
74,Diversified,Egypt
76,Diversified,Egypt
60,Diversified,Egypt
90,Fashion & Retail,Eswatini (Swaziland)
65,Manufacturing,Finland
63,Manufacturing,Finland
82,Diversified,Finland
57,Manufacturing,Finland
76,Healthcare,Finland
55,Energy,Finland
35,Manufacturing,Finland
73,Fashion & Retail,France
68,Fashion & Retail,France
52,Logistics,France
85,Fashion & Retail,France
51,Food & Beverage,France
54,Telecom,France
68,Diversified,France
65,Diversified,France
57,Diversified,France
54,Food & Beverage,France
41,Food & Beverage,France
70,Finance & Investments,France
84,Healthcare,France
81,Finance & Investments,France
58,Healthcare,France
82,Fashion & Retail,France
84,Manufacturing,France
82,Service,France
74,Construction & Engineering,France
68,Diversified,France
65,Healthcare,France
75,Food & Beverage,France
81,Finance & Investments,France
73,Automotive,France
74,Real Estate,France
56,Healthcare,France
67,Logistics,France
68,Fashion & Retail,France
90,Construction & Engineering,France
43,Construction & Engineering,France
74,Finance & Investments,France
81,Food & Beverage,France
79,Food & Beverage,France
66,Finance & Investments,Georgia
82,Fashion & Retail,Germany
59,Automotive,Germany
55,Automotive,Germany
86,Manufacturing,Germany
71,Fashion & Retail,Germany
72,Healthcare,Germany
72,Healthcare,Germany
54,Real Estate,Germany
75,Manufacturing,Germany
78,Fashion & Retail,Germany
57,Automotive,Germany
78,Technology,Germany
55,Food & Beverage,Germany
75,Manufacturing,Germany
57,Finance & Investments,Germany
69,Fashion & Retail,Germany
57,Fashion & Retail,Germany
70,Energy,Germany
74,Manufacturing,Germany
76,Food & Beverage,Germany
81,Technology,Germany
56,Healthcare,Germany
80,Healthcare,Germany
63,Real Estate,Germany
82,Healthcare,Germany
57,Fashion & Retail,Germany
69,Finance & Investments,Germany
78,Healthcare,Germany
87,Gambling & Casinos,Germany
78,Fashion & Retail,Germany
71,Fashion & Retail,Germany
88,Technology,Germany
82,Media & Entertainment,Germany
78,Food & Beverage,Germany
70,Fashion & Retail,Germany
50,Manufacturing,Germany
79,Media & Entertainment,Germany
58,Technology,Germany
55,Fashion & Retail,Germany
49,Fashion & Retail,Germany
43,Fashion & Retail,Germany
58,Media & Entertainment,Germany
70,Service,Germany
67,Healthcare,Germany
84,Healthcare,Germany
65,Healthcare,Germany
44,Healthcare,Germany
45,Media & Entertainment,Germany
60,Manufacturing,Germany
46,Finance & Investments,Germany
70,Manufacturing,Germany
77,Automotive,Germany
82,Technology,Germany
89,Fashion & Retail,Germany
75,Fashion & Retail,Germany
60,Fashion & Retail,Germany
55,Fashion & Retail,Germany
80,Automotive,Germany
66,Fashion & Retail,Germany
68,Manufacturing,Germany
55,Manufacturing,Germany
59,Manufacturing,Germany
62,Manufacturing,Germany
43,Food & Beverage,Germany
88,Food & Beverage,Germany
76,Manufacturing,Germany
75,Healthcare,Germany
65,Food & Beverage,Germany
45,Healthcare,Germany
35,Healthcare,Germany
59,Media & Entertainment,Germany
,Automotive,Germany
57,Finance & Investments,Germany
62,Finance & Investments,Germany
71,Fashion & Retail,Germany
74,Fashion & Retail,Germany
43,Healthcare,Germany
42,Automotive,Germany
39,Automotive,Germany
32,Healthcare,Germany
38,Healthcare,Germany
65,Fashion & Retail,Germany
67,Finance & Investments,Germany
62,Finance & Investments,Germany
80,Fashion & Retail,Germany
56,Real Estate,Germany
47,Manufacturing,Germany
55,Manufacturing,Germany
53,Media & Entertainment,Germany
42,Healthcare,Germany
39,Healthcare,Germany
69,Food & Beverage,Germany
60,Media & Entertainment,Germany
48,Technology,Germany
70,Manufacturing,Germany
89,Energy,Greece
69,Finance & Investments,Guernsey
69,Diversified,Hungary
56,Diversified,Hungary
64,Diversified,India
59,Diversified,India
76,Technology,India
80,Healthcare,India
67,Fashion & Retail,India
72,Metals & Mining,India
54,Diversified,India
66,Healthcare,India
92,Construction & Engineering,India
63,Finance & Investments,India
64,Telecom,India
76,Technology,India
90,Real Estate,India
71,Healthcare,India
64,Fashion & Retail,India
79,Manufacturing,India
88,Healthcare,India
90,Manufacturing,India
80,Manufacturing,India
61,Finance & Investments,India
67,Food & Beverage,India
66,Real Estate,India
59,Fashion & Retail,India
75,Technology,India
80,Automotive,India
66,Healthcare,India
67,Technology,India
69,Healthcare,India
71,Manufacturing,India
74,Manufacturing,India
64,Healthcare,India
40,Technology,India
81,Real Estate,India
66,Technology,India
81,Manufacturing,India
69,Healthcare,India
78,Food & Beverage,India
51,Real Estate,India
70,Food & Beverage,India
58,Healthcare,India
67,Healthcare,India
68,Automotive,India
75,Manufacturing,India
78,Diversified,India
64,Automotive,India
67,Technology,India
77,Automotive,India
84,Food & Beverage,India
66,Manufacturing,India
58,Technology,India
60,Manufacturing,India
63,Manufacturing,India
64,Automotive,India
65,Automotive,India
71,Diversified,India
80,Diversified,India
73,Diversified,India
71,Diversified,India
61,Diversified,India
73,Construction & Engineering,India
87,Food & Beverage,India
91,Automotive,India
45,Fashion & Retail,India
70,Diversified,India
90,Healthcare,India
63,Healthcare,India
69,Healthcare,India
74,Healthcare,India
56,Media & Entertainment,India
67,Diversified,India
74,Manufacturing,India
69,Food & Beverage,India
73,Food & Beverage,India
85,Healthcare,India
74,Manufacturing,India
67,Technology,India
64,Diversified,India
64,Manufacturing,India
83,Manufacturing,India
56,Real Estate,India
64,Healthcare,India
69,Manufacturing,India
79,Construction & Engineering,India
65,Fashion & Retail,India
49,Food & Beverage,India
51,Healthcare,India
56,Healthcare,India
69,Fashion & Retail,India
80,Manufacturing,India
74,Manufacturing,India
79,Fashion & Retail,India
88,Manufacturing,India
66,Diversified,India
65,Manufacturing,India
64,Healthcare,India
81,Healthcare,India
49,Technology,India
65,Diversified,India
69,Healthcare,India
52,Food & Beverage,India
60,Manufacturing,India
50,Automotive,India
72,Healthcare,India
75,Healthcare,India
55,Manufacturing,India
72,Real Estate,India
75,Finance & Investments,India
71,Fashion & Retail,India
71,Logistics,India
77,Fashion & Retail,India
73,Fashion & Retail,India
68,Fashion & Retail,India
76,Fashion & Retail,India
66,Healthcare,India
73,Manufacturing,India
66,Finance & Investments,India
69,Finance & Investments,India
71,Finance & Investments,India
61,Finance & Investments,India
49,Service,India
78,Real Estate,India
70,Manufacturing,India
40,Fashion & Retail,India
59,Technology,India
75,Healthcare,India
56,Healthcare,India
77,Real Estate,India
69,Manufacturing,India
39,Technology,India
64,Construction & Engineering,India
52,Construction & Engineering,India
54,Healthcare,India
50,Technology,India
51,Finance & Investments,India
70,Manufacturing,India
79,Food & Beverage,India
73,Manufacturing,India
54,Technology,India
43,Service,India
69,Healthcare,India
81,Healthcare,India
95,Healthcare,India
85,Automotive,India
68,Diversified,India
60,Manufacturing,India
79,Technology,India
69,Automotive,India
53,Manufacturing,India
61,Manufacturing,India
68,Fashion & Retail,India
61,Healthcare,India
66,Real Estate,India
77,Construction & Engineering,India
77,Finance & Investments,India
76,Healthcare,India
81,Finance & Investments,Indonesia
82,Manufacturing,Indonesia
59,Diversified,Indonesia
77,Diversified,Indonesia
73,Energy,Indonesia
56,Finance & Investments,Indonesia
78,Diversified,Indonesia
68,Media & Entertainment,Indonesia
70,Diversified,Indonesia
68,Technology,Indonesia
72,Finance & Investments,Indonesia
82,Energy,Indonesia
72,Fashion & Retail,Indonesia
92,Diversified,Indonesia
63,Food & Beverage,Indonesia
72,Energy,Indonesia
56,Media & Entertainment,Indonesia
60,Technology,Indonesia
55,Finance & Investments,Indonesia
72,Food & Beverage,Indonesia
81,Diversified,Indonesia
76,Manufacturing,Indonesia
76,Real Estate,Indonesia
93,Energy,Indonesia
66,Media & Entertainment,Indonesia
63,Telecom,Ireland
79,Manufacturing,Ireland
78,Food & Beverage,Ireland
71,Finance & Investments,Ireland
91,Real Estate,Israel
95,Manufacturing,Israel
50,Gambling & Casinos,Israel
64,Service,Israel
73,Real Estate,Israel
77,Media & Entertainment,Israel
53,Technology,Israel
78,Technology,Israel
64,Food & Beverage,Israel
56,Technology,Israel
77,Automotive,Israel
62,Finance & Investments,Israel
68,Finance & Investments,Israel
78,Diversified,Israel
69,Healthcare,Israel
63,Automotive,Israel
54,Real Estate,Israel
61,Automotive,Israel
56,Technology,Israel
66,Food & Beverage,Israel
86,Finance & Investments,Israel
64,Service,Israel
48,Metals & Mining,Israel
92,Technology,Israel
86,Fashion & Retail,Italy
87,Fashion & Retail,Italy
85,Diversified,Italy
79,Healthcare,Italy
70,Finance & Investments,Italy
82,Fashion & Retail,Italy
76,Automotive,Italy
67,Telecom,Italy
76,Fashion & Retail,Italy
72,Fashion & Retail,Italy
79,Construction & Engineering,Italy
53,Food & Beverage,Italy
65,Manufacturing,Italy
79,Healthcare,Italy
85,Healthcare,Italy
66,Fashion & Retail,Italy
86,Manufacturing,Italy
62,Food & Beverage,Italy
60,Fashion & Retail,Italy
76,Manufacturing,Italy
84,Fashion & Retail,Italy
86,Fashion & Retail,Italy
54,Manufacturing,Italy
81,Automotive,Italy
46,Finance & Investments,Italy
68,Fashion & Retail,Italy
81,Fashion & Retail,Italy
87,Diversified,Italy
69,Fashion & Retail,Italy
68,Fashion & Retail,Italy
76,Fashion & Retail,Italy
84,Fashion & Retail,Italy
81,Food & Beverage,Italy
44,Food & Beverage,Italy
63,Fashion & Retail,Italy
59,Fashion & Retail,Italy
76,Energy,Italy
60,Manufacturing,Italy
48,Fashion & Retail,Italy
68,Fashion & Retail,Italy
68,Diversified,Italy
74,Finance & Investments,Italy
52,Fashion & Retail,Italy
44,Construction & Engineering,Italy
50,Construction & Engineering,Italy
50,Construction & Engineering,Italy
62,Fashion & Retail,Italy
82,Food & Beverage,Italy
57,Healthcare,Italy
73,Fashion & Retail,Japan
76,Manufacturing,Japan
64,Telecom,Japan
60,Fashion & Retail,Japan
77,Manufacturing,Japan
57,Fashion & Retail,Japan
97,Fashion & Retail,Japan
78,Fashion & Retail,Japan
85,Real Estate,Japan
83,Technology,Japan
57,Telecom,Japan
66,Fashion & Retail,Japan
75,Fashion & Retail,Japan
76,Real Estate,Japan
56,Real Estate,Japan
75,Logistics,Japan
68,Technology,Japan
46,Technology,Japan
